"corpus","preloaded/trends_en"
"subcorpus","-"
"concordance size","10000"
"query","Query:alemma,[word=""black""][word=""leather""];Random sample:10000"
"Reference","Left","KWIC","Right"
"2015-10-03","Drive. </s><s> Maybe the best all wheel drive system on the market. </s><s> Fully certified and ready to carve up the streets!! </s><s> Flawless","black leather","interior with no rips, stains or burns. </s><s> Fully loaded with heated leather seats, power driver seat, steering wheel"
"2015-12-23","<s> Women who are pear-shaped, however, might want to try a cropped style, which focuses on a slimmer upper half. </s><s> Although a","black leather","jacket can complement any wardrobe, variation in color and texture can easily make it an outfit''s focal piece. </s><s> If you"
"2015-12-05","in which ''normal'' people have conversations. </s><s> two guys sitting next to me in starbucks are talking </s><s> and guy one (big ears,","black leather","jacket, blue shirt, scruffy black </s><s> for like five minutes about basically just irrelevant things </s><s> iphone in a blue case"
"2015-12-08","blonde hair like their mum and blue eyes like both their parents, went for very different styles . </s><s> Alexander donned a","black leather","jacket and black trousers while Kai opted for a grey and white striped, long sleeved T-shirt and jeans. </s><s> School Of Rock,"
"2015-12-11","he was also ""in good physical health"" prior to his death. </s><s> The man was wearing size 30 Pepe blue jeans with a button fly, a","black leather","Calvin Klein belt, a medium-sized Fundamentals T-shirt, Replay black running shoes (fairly worn), black cotton"
"2016-01-09","that winter white is something everyone should try. </s><s> Gigi goes out Wednesday night in New York City and shows us that","black leather","and fur are the perfect match. </s><s> Chrissy Teigen is over the John Legend lookalike baby </s><s> Please stop sending me this baby. </s><s> I"
"2016-01-17","she tucked into a pair of navy skinny jeans. </s><s> She accessorised her casual winter outfit with a pair of knee high boots, a","black leather","belt and a pair of large shades which covered up her delicate facial features. </s><s> No bikini today! </s><s> Natasha Oakley, 24, and"
"2016-01-22","and former Coronation Street star Sherrie Hewson, stepped out on the town with glam Dawn Ward, who looked stylish in a","black leather","skirt and boots. </s><s> On New Year''s Eve he had fun seeing in 2016 with Dawn, the wife of former footballer Ashley Ward, and her"
"2016-02-13","Audi A4 1.8T Quattro with only 128,000 km''s. </s><s> This vehicle is complimented with a flawless exterior aswell as a charcoal","black leather","interiror. </s><s> Comes with 17'' motorsport BBS rims. the vehicle is good for any needs such as capabilities of 4 wheel drive"
"2016-02-13","large sunglasses over her camera-ready, flawless complexion. </s><s> Amal''s 54-year-old silver fox rocked red shades, a","black leather","motorbike jacket, blue jeans, and beige suede Oxfords for their flight. </s><s> While in Germany, the Clooneys managed to"
"2016-02-16","function. </s><s> Electric-powered seats are fitted on the driver''s side as well. </s><s> The base 2.0L on the other hand, gets","black leather","for its seats instead, with silver trim on various parts of the cabin. </s><s> It also gets a different head unit along with"
"2016-02-19","50 Greatest Ever Stunts'', a new two-hour special set to air in the spring, as he slips into his tight blue jeans and","black leather","jacket to describe various feats it takes to become a daredevil as he goes behind-the-scenes of some of the world''s most"
"2016-03-25","hotpants. </s><s> Her lean limbs looked in great shape and she was full of energy as she bounded up and down the stage in a pair of","black leather","Dr. Martens boots. </s><s> The chart-topping musician continued her black colour theme up top, pulling on a skin-tight"
"2016-04-04","opening sent chills down my spine. </s><s> She''s looking real hot sporting a Heavy Metal-esque look with the 80''s puffy hair and","black leather","outfit. </s><s> I just wish she just plays the ""Stephanie McMahon"" character all the time, as opposed to doing Chief Brand"
"2016-04-07",", appears to be between 14 to 16 years old and approximately 5 feet 5 inches tall, police said. </s><s> She was last seen wearing a","black leather","jacket and light blue jeans. </s><s> With the announcement of a new partnership with Thinxtra, business telecommunications"
"2016-04-26","on Monday. </s><s> Prince''s nephew shielded the Grammy award-winner''s urn from nearby cameras, as well as the elements, with a","black leather","jacket. </s><s> It is not yet know what they plan to do with the ashes. </s><s> While no funeral plans have been announced, Prince''s"
"2016-05-07","inches taller than me, slender, graceful, arrogant. </s><s> He wears his thick hair in a high tuft, dyed boot-black, and his","black leather","silver-studded jacket swings open with each long step. </s><s> I used to have crushes on boys like him. </s><s> We all have blows - we"
"2016-05-11",". </s><s> Obdul (Obdul Reid) is Griffin''s personal bodyguard and assistant. </s><s> He is always wearing a business suit and carries a","black leather","briefcase at all times. </s><s> A running gag is Griffin saying something assaulting and Obdul tapping his briefcase. </s><s> Another"
"2016-05-21","have made me feel this week, Peace out #MBFWA,'' Brodie captioned the picture. </s><s> Perth-born Zoe donned a structured","black leather","dress for the event, while her sister-in-law chose a burgundy cold shoulder-style dress. </s><s> The former Packed to the"
"2016-06-06","! </s><s> Good news, the Brembo brakes will give you the power to stop quickly. 2014 Mustang GT finished in Oxford White over","black leather","and a black cloth convertible roof with Blue racing stripes and GT side stripes. </s><s> Comes with a 6 speed automatic"
"2016-06-14","sold in the US. </s><s> The Special Edition was next in the lineup; although it shared the SE''s unique rims, grille, badging, and","black leather","interior, its features put it somewhere between the Sport and RTS trim packages. </s><s> The EX-L and Touring trims were at the"
"2016-06-25","called the Black Panther Party for Self-Defense. </s><s> Newton and Seale decided on a uniform of blue shirts, black pants,","black leather","jackets, black berets. </s><s> Sixteen-year-old Bobby Hutton was their first recruit. </s><s> The initial tactic of the party"
"2016-08-24","designer Vaibhav, 29, charmed the audience with wearable, sporty fashion in black and grey. </s><s> IMAGE: A coat with","black leather","sleeves make for a wardrobe staple for any dapper man, doesn''t it? </s><s> IMAGE: Ankle length pants just came back in vogue. </s><s> The"
"2016-09-10","completed her elegant sartorial display with matching royal blue loafers and accessorised with dainty jewellery and","black leather","handbag </s><s> He saw off Gael Monfils 6-3 6-2 3-6 6-2 and on Sunday will face Stan Wawrinka. </s><s> ''It was the same for both of us. </s><s> Gael"
"2016-09-21","arrived wearing a pair of sunglasses, which he removed on his way in </s><s> He''s got it in the bag: Luke was also seen carrying a","black leather","bag on his arrival </s><s> Busy B: Emily was also spotted heading to BBC Radio 1''s London studios for an interview </s><s> Uri attack: As"
"2016-09-23","London with her on trend off the shoulder frock, while Corrie''s Lucy Fallon mixed things up with a floral jumpsuit and","black leather","jacket. </s><s> The glamorous girls were joined by a host of VIPs at the event to launch Malmaison''s Work+Play meeting and"
"2016-09-29",": Billy and Nicole wed in 2009 and they share two kids together, a daughter Tyla Rose and a son, Jake </s><s> He paired the look with","black leather","shoes and sported a clean-shaven face. </s><s> The couple happily posed arm-in-arm at the NRL event. </s><s> Beaming: They are often"
